,Worm,Dataset,CPD,fDNC,StatAtlas (base),StatAtlas (retrain),CRF (base),CRF (retrain)
42,2023-01-19-08,SF,0.2545454545454545,0.2934782608695652,0.38181818181818183,0.6727272727272727,0.109090909,0.763636364
47,2023-01-23-08,SF,0.5645161290322581,0.4431818181818182,0.3064516129032258,0.5483870967741935,0.709677419,0.903225806
25,2023-01-23-15,SF,0.5641025641025641,0.5784313725490197,0.32051282051282054,0.44871794871794873,0.58974359,0.807692308
43,2023-01-23-21,SF,0.2926829268292683,0.594059405940594,0.3780487804878049,0.5975609756097561,0.56097561,0.914634146
65,2023-03-07-01,SF,0.3166666666666666,0.4545454545454545,0.31666666666666665,0.6166666666666667,0.05,0.816666667
41,20221028-18-48-00,SK1,0.1363636363636363,0.5660377358490566,0.29545454545454547,0.5454545454545454,0.204545455,0.681818182
3,20221106-21-00-09,SK1,0.2121212121212121,0.5603448275862069,0.3939393939393939,0.696969696969697,0.515151515,0.757575758
80,20221106-21-23-19,SK1,0.28,0.6017699115044248,0.4,0.72,0.64,0.72
10,20221106-21-47-31,SK1,0.490566037735849,0.376068376068376,0.37735849056603776,0.5849056603773585,0.490566038,0.660377358
49,20221215-20-02-49,SK1,0.203125,0.4772727272727273,0.40625,0.671875,0.578125,0.734375
62,20230322-18-57-04,SK1,0.0652173913043478,0.525,0.30434782608695654,0.4782608695652174,0.456521739,0.652173913
4,20230322-20-16-50,SK1,0.25,0.5447154471544715,0.25,0.5681818181818182,0.409090909,0.636363636
89,20230322-21-41-10,SK1,0.4705882352941176,0.5660377358490566,0.38235294117647056,0.7647058823529411,0.617647059,0.794117647
11,20230322-22-43-03,SK1,0.119047619047619,0.4369747899159664,0.2619047619047619,0.42857142857142855,0.5,0.69047619
12,20230506-12-56-00,SK1,0.3191489361702128,0.4257425742574257,0.2978723404255319,0.44680851063829785,0.468085106,0.617021277
13,20230506-14-24-57,SK1,0.3333333333333333,0.3365384615384615,0.27450980392156865,0.5294117647058824,0.509803922,0.666666667
75,20230506-15-01-45,SK1,0.2727272727272727,0.404040404040404,0.2727272727272727,0.5151515151515151,0.575757576,0.818181818
61,20230506-15-33-51,SK1,0.4318181818181818,0.3689320388349514,0.36363636363636365,0.5227272727272727,0.454545455,0.75
72,20230510-12-53-34,SK1,0.4489795918367347,0.5565217391304348,0.32653061224489793,0.6530612244897959,0.469387755,0.795918367
16,20230510-13-25-46,SK1,0.108695652173913,0.6283185840707964,0.2391304347826087,0.45652173913043476,0.739130435,0.891304348
54,20230510-15-49-47,SK1,0.3023255813953488,0.5514018691588785,0.27906976744186046,0.6511627906976745,0.604651163,0.813953488
88,20230904-14-30-52,SK1,0.3658536585365853,0.3741007194244604,0.36585365853658536,0.6585365853658537,0.524390244,0.731707317
52,20230904-15-09-05,SK1,0.2435897435897435,0.4402985074626865,0.3717948717948718,0.6025641025641025,0.576923077,0.628205128
66,20230904-15-59-40,SK1,0.25,0.3191489361702128,0.21428571428571427,0.5357142857142857,0.375,0.714285714
45,20230909-16-48-09,SK1,0.4444444444444444,0.6923076923076923,0.3888888888888889,0.6111111111111112,0.472222222,0.777777778
9,2021-12-03-w00-NP1,SK2,0.631578947368421,0.622093023255814,0.6140350877192983,0.8596491228070176,0.877192982,0.894736842
92,2022-01-22-w04-NP1,SK2,0.625,0.5529411764705883,0.625,0.9166666666666666,0.875,0.895833333
51,2022-02-11-w03-NP1,SK2,0.627906976744186,0.8273809523809523,0.6046511627906976,0.813953488372093,0.697674419,0.953488372
58,2022-02-12-w00-NP1,SK2,0.55,0.6571428571428571,0.6,0.7333333333333333,0.716666667,0.666666667
44,2022-02-12-w01-NP1,SK2,0.6349206349206349,0.6536312849162011,0.6031746031746031,0.9047619047619048,0.73015873,0.857142857
56,2022-02-22-w04-NP1,SK2,0.5416666666666666,0.7988505747126436,0.5833333333333334,0.8333333333333334,0.75,0.8125
30,2022-03-05-w00-NP1,SK2,0.5192307692307693,0.6071428571428571,0.5961538461538461,0.7884615384615384,0.807692308,0.807692308
64,2022-04-01-w00-NP1,SK2,0.6363636363636364,0.5481927710843374,0.4772727272727273,0.7954545454545454,0.477272727,0.772727273
76,2022-04-26-w00-NP1,SK2,0.4736842105263157,0.8055555555555556,0.6578947368421053,0.9473684210526315,0.684210526,0.921052632
85,2022-04-26-w01-NP1,SK2,0.3,0.7277777777777777,0.575,0.95,0.8,0.925
